"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"2023-12-11","05:35","Clear","CLR","No precipitation","NO","","","Needles, Stellars and dendrites, Irregular crystals","nd, sd, ir","1","5","7.5","5.0","","150","15","6","42","","-10.0","-4.0","-2.0","-11.0","-1.0","-11.0","N","Strong","S","Cooper Smith","","","2023-12-12 05:56:46","2023-12-12 05:56:46","","","0","174.242.71.58","422","isdh7"
"2023-12-11","05:35","Overcast","OVC","Mixed rain and snow","RS","Very light snowfall, Very light rain","S-1, RV","Irregular crystals","ir","1","1","3.0","1.0","43.2","","33","","37","13","0.0","0.0","0.0","0.0","8.0","0.0","NE","Calm","C","Cooper Smith","","","2023-12-11 06:02:54","2023-12-11 06:02:54","","","0","174.242.71.53","419","5c6su"
"2023-12-10","05:35","Broken","BKN","No precipitation","NO","","","","","N/O","0","0.0","0.0","0","","","","52","5","-1.0","0.0","0.0","6.0","8.0","1.0","S","Extreme","E","Cooper Smith","","","2023-12-10 05:42:58","2023-12-10 05:42:58","","","0","174.242.70.191","416","md24h"
"2023-12-09","05:35","Overcast","OVC","No precipitation","NO","","","","","N/O","0","","","0","","","0","57","3","0.0","-4.0","-5.0","1.0","1.0","-9.0","S","Moderate","M","Cooper Smith","","","2023-12-09 05:50:32","2023-12-09 05:50:32","","","0","174.242.66.238","414","pzduj"
"2023-12-08","05:30","Broken","BKN","No precipitation","NO","","","","","N/O","0","","","","","","0","60","1","-8.0","-8.0","-6.0","-10.0","-8.0","-17.0","N","Strong","S","Cooper Smith","","","2023-12-08 05:53:39","2023-12-08 05:53:39","","","0","174.242.65.6","412","xkanv"
"2023-12-07","05:35","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","61","3","-15.0","-13.0","-8.0","-17.0","-10.0","-18.0","","Calm","C","Eli Hanschka","","","2023-12-07 06:11:13","2023-12-07 06:11:13","","","0","107.77.224.56","410","o866z"
"2023-12-06","05:20","Scattered","SCT","No precipitation","NO","","","","","","T","","","","","","T","64","4","-10.0","-8.0","-6.0","-13.5","-7.0","-14.0","","Calm","C","Eli Hanschka","","","2023-12-06 05:34:23","2023-12-06 05:34:23","","","0","107.77.224.232","409","daaa8"
"2023-12-05","05:45","Broken","BKN","No precipitation","NO","","","","","","10","12.0","9.7","","","12","33","68","","-6.5","-5.0","-4.0","-8.5","-3.0","-8.5","NW","Light","L","Eli Hanschka","Can’t enter density p value for some reason. Density p = 1.24","","2023-12-05 05:56:34","2023-12-05 05:56:34","","","0","107.77.224.198","408","9rkn4"
"2023-12-04","05:40","Obscured","X","Snow","SN","Moderate snowfall","S2","Stellars and dendrites","sd","3","29","23.5","29.5","","","8","NC","65","","-3.0","-2.5","-2.0","-5.0","-1.5","-5.0","SW","Light","L","Eli Hanschka","Density p = 0.8","","2023-12-04 06:00:36","2023-12-04 06:00:36","","","0","107.77.226.40","407","23j5c"
"2024-01-02","06:27","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","6","1","-5.0","","","-7.5","-5.5","-15.0","NW","Light","L","Eli Hanschka","","","2024-01-02 06:41:34","2024-01-02 06:41:34","","","0","107.77.225.113","453","3xwfm"
"2024-01-11","05:47","Overcast","OVC","No precipitation","NO","","","","","","4","7.0","4.0","","57","6","62","65","","-6.0","-5.0","-3.0","-2.5","2.0","-2.5","W","Extreme","E","Cooper Smith","There was a 2 cm knife hard rain crust under the 4 cm of snow on the HN24 board.","","2024-01-11 05:55:40","2024-01-11 05:55:40","","","0","174.242.74.117","476","8n748"
"2024-01-10","05:32","Overcast","OVC","Snow","SN","Heavy snowfall","S5","Irregular crystals","ir","1","56","51.0","30.0","","170","17","","65","","-1.0","-3.0","-4.0","2.0","0.0","-2.0","SE","Strong","S","Cooper Smith","","","2024-01-10 05:47:30","2024-01-10 05:47:30","","","0","174.242.65.218","474","83wdh"
"2024-01-09","05:36","Clear","CLR","No precipitation","NO","","","","","","2","1.5","1.6","","93","9","2","23","","-10.0","-6.5","","-11.0","-8.5","-13.5","W","Light","L","Cooper Smith","","","2024-01-09 05:47:13","2024-01-09 05:47:13","","","0","174.196.198.118","471","a8npj"
"2024-01-07","05:58","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","12","11.0","12.0","","91","9","19","20","","-11.0","-6.5","","-13.0","-8.5","-13.0","NW","Strong","S","Cooper Smith","","","2024-01-08 05:59:58","2024-01-08 05:59:58","","","0","174.242.73.139","468","yoo2j"
"2024-01-07","05:49","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Colums, Irregular crystals","cl, ir","1","10","6.0","10.0","","60","6","","12","","-8.0","","","-11.0","-9.5","-14.0","SE","Calm","C","Cooper Smith","","","2024-01-07 05:58:29","2024-01-07 05:58:29","","","0","174.196.196.93","465","a6apo"
"2024-01-06","05:52","Clear","CLR","No precipitation","NO","","","","","N/O","0","0.0","0.0","0.0","","","0","7","","-9.0","","","-7.0","-5.0","-16.0","W","Light","L","Cooper Smith","","","2024-01-06 05:56:40","2024-01-06 05:56:40","","","0","174.242.66.164","462","sm1cz"
"2024-01-05","06:01","Clear","CLR","No precipitation","NO","","","Graupel, Irregular crystals","gp, ir","N/O","1","1.0","1.0","","10","100","1","5","","-14.0","","","-13.0","-5.0","-17.5","NW","Strong","S","Cooper Smith","","","2024-01-05 06:12:27","2024-01-05 06:12:27","","","0","174.242.75.3","460","c2yf7"
"2024-01-04","05:49","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","3","T","","","","","","NC","5","1","-4.0","","","-6.5","-5.0","-8.0","W","Light","L","Eli Hanschka","","","2024-01-04 06:01:28","2024-01-04 06:01:28","","","0","107.77.224.26","458","ibxyr"
"2024-01-03","05:50","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","6","0","-5.0","","","-7.5","-1.0","-8.5","W","Light","L","Eli Hanschka","","","2024-01-03 06:01:21","2024-01-03 06:01:21","","","0","107.77.225.113","456","zrhko"
"2023-12-23","05:40","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","","0","","","","","-1.5","1.0","-10.0","W","Calm","C","Cooper Smith","","","2023-12-23 05:56:13","2023-12-23 05:56:13","","","0","174.242.67.70","437","6rr0k"
"2024-01-01","07:27","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","7","1","-10.0","","","-12.5","-7.0","-12.5","","Calm","C","Eli Hanschka","","","2024-01-01 07:36:23","2024-01-01 07:36:23","","","0","107.77.223.203","452","4ja72"
"2023-12-31","05:23","Obscured","X","No precipitation","NO","","","","","","4","4.0","4.2","3.0","","10","8","8","","-6.5","","","-9.0","-1.0","-9.0","","Calm","C","","Density P = 9.5","","2023-12-31 06:00:01","2023-12-31 06:00:01","","","0","107.77.226.99","449","n2nrw"
"2023-12-30","05:41","Overcast","OVC","Snow","SN","Light snowfall","S1","Colums, Stellars and dendrites","cl, sd","2","7","4.5","6.8","","","7","NC","7","","0.0","","","-1.5","3.5","-1.5","","Calm","C","Eli Hanschka","Density p = 0.66","","2023-12-30 06:02:43","2023-12-30 06:02:43","","","0","107.77.225.97","446","v11lb"
"2023-12-29","05:43","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","11.3","","","0","0","","","","","1.5","3.0","1.5","","Calm","C","Eli Hanschka","","","2023-12-29 06:04:58","2023-12-29 06:04:58","","","0","107.77.225.32","444","yvyc0"
"2023-12-28","05:54","Clear, Overcast","CLR, OVC","No precipitation","NO","","","","","","0","","","","","","","0","","","","","2.0","5.5","1.0","E","Calm","C","Cooper Smith","","","2023-12-28 05:55:38","2023-12-28 05:55:38","","","0","174.196.194.21","442","8t88o"
"2023-12-27","05:49","Overcast","OVC","Rain","RA","Light rain","RL","","","","0","","","","","","","0","","","","","5.0","5.7","0.0","W","Strong","S","Cooper Smith","","","2023-12-27 05:51:15","2023-12-27 05:51:15","","","0","174.196.201.234","441","7v4q2"
"2023-12-26","05:42","Broken","BKN","No precipitation","NO","","","","","","0","","","","","","","0","","","","","4.0","5.0","-0.5","W","Moderate","M","Cooper Smith","","","2023-12-26 05:44:17","2023-12-26 05:44:17","","","0","174.242.70.53","440","il6y0"
"2023-12-25","05:46","Overcast","OVC","Mixed rain and snow","RS","Very light snowfall, Very light rain","S-1, RV","","","","0","","","","","","","0","","","","","1.0","2.5","-7.0","W","Strong","S","Cooper Smith","","","2023-12-25 05:50:06","2023-12-25 05:50:06","","","0","174.196.198.235","439","m9h2p"
"2023-12-24","05:45","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","0","","","","","0.0","1.0","-12.5","SW","Calm","C","Cooper Smith","","","2023-12-24 06:01:43","2023-12-24 06:01:43","","","0","174.242.64.217","438","62mvf"
"2024-01-23","05:22","Overcast","OVC","No precipitation","NO","","","","","","0","0.0","0.0","0.0","","","NC","85","5","-7.0","-8.0","-8.0","-8.0","-6.0","-10.5","W","Extreme","E","Cooper Smith","","","2024-01-23 05:31:26","2024-01-23 05:31:26","","","0","174.196.204.186","508","8hveh"
"2024-02-01","05:40","Broken","BKN","No precipitation","NO","","","","","","T","","","","","","T","83","1","-5.5","-6.0","-6.0","-6.0","-6.0","-11.5","","Calm","C","Eli Hanschka","","","2024-02-01 07:17:11","2024-02-01 07:17:11","","","0","107.77.223.10","536","qb8ob"
"2024-01-31","05:20","Broken","BKN","No precipitation","NO","","","","","","0","","","0","","","0","84","1","-11.0","-9.5","-8.0","-11.5","-7.0","-16.5","","Calm","C","Eli Hanschka","","","2024-01-31 05:36:21","2024-01-31 05:36:21","","","0","107.77.224.85","532","o1j61"
"2024-01-30","05:34","Obscured","X","No precipitation","NO","","","","","","T","","","","","","5","85","2","-9.0","-7.0","-5.0","-13.0","-6.5","-14.0","","Calm","C","Eli Hanschka","","","2024-01-30 05:51:32","2024-01-30 05:51:32","","","0","107.77.223.109","529","92y72"
"2024-01-29","05:51","Obscured","X","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","6","4.0","5.9","","","7","NC","87","","-5.5","-5.0","-4.0","-7.5","-1.0","-7.5","","Calm","C","Eli Hanschka","","","2024-01-29 05:58:41","2024-01-29 05:58:41","","","0","107.77.223.172","526","tdgdi"
"2024-01-28","06:22","Broken","BKN","No precipitation","NO","","","","","","1","0.8","1.0","","","8","1","83","0","-3.5","-5.0","-4.0","-6.0","0.0","-8.0","","Calm","C","Eli Hanschka","","","2024-01-28 06:41:00","2024-01-28 06:41:00","","","0","107.77.223.173","523","mn9zr"
"2024-01-27","05:40","Scattered","SCT","No precipitation","NO","","","","","","4","6.0","4.2","","","14","4","83","","-5.0","-4.0","-3.0","-7.0","-2.0","-7.0","","Calm","C","Eli Hanschka","","","2024-01-27 05:54:24","2024-01-27 05:54:24","","","0","107.77.225.231","520","fhvsu"
"2024-01-26","05:40","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles","nd","2","0","","","","","","0","79","","-4.0","-3.0","-3.0","-4.5","2.5","-4.5","","Calm","C","Eli Hanschka","","","2024-01-26 05:57:46","2024-01-26 05:57:46","","","0","107.77.225.32","517","v8zt2"
"2024-01-25","05:56","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","9.0","","","","78","7","0.0","-1.0","-2.0","1.0","5.0","-9.0","W","Strong","S","Cooper Smith","","","2024-01-25 06:04:49","2024-01-25 06:04:49","","","0","174.196.200.113","514","ia5cc"
"2024-01-24","05:40","Overcast","OVC","Snow","SN","Light snowfall","S1","Needles, Irregular crystals","nd, ir","1","0","0.0","0.0","0.0","","","NC","85","","-10.0","-8.0","-7.0","-8.5","-6.0","-10.0","SW","Strong","S","Cooper Smith","","","2024-01-24 05:50:22","2024-01-24 05:50:22","","","0","174.196.192.99","511","nqtn7"
"2024-01-12","05:37","Obscured","X","Snow","SN","Very light snowfall","S-1","","","","7","10.0","7.6","","","13","","65","","-8.0","-6.5","-6.0","-8.5","-6.0","-8.5","NW","Strong","S","Eli Hanschka","Density p = 1.32","","2024-01-12 06:01:24","2024-01-12 06:01:24","","","0","107.77.224.35","479","n6xck"
"2024-01-22","05:41","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","","","NC","89","4","-8.0","-10.0","-10.0","-12.0","-7.5","-21.0","W","Strong","S","Cooper Smith","","","2024-01-22 05:47:22","2024-01-22 05:47:22","","","0","174.196.195.199","505","8j9fj"
"2024-01-21","05:30","Scattered","SCT","No precipitation","NO","","","Irregular crystals","ir","1","3","2.0","2.8","","71","7","3","93","","-15.0","-14.0","-13.0","-19.5","-11.0","-21.0","NW","Moderate","M","Cooper Smith","","","2024-01-21 05:46:15","2024-01-21 05:46:15","","","0","174.196.197.59","503","jyjwg"
"2024-01-19","05:20","Clear","CLR","No precipitation","NO","","","","","N/O","0","0.0","9.0","","","","0","90","","-14.0","-14.0","-12.0","-16.0","-14.0","-18.5","W","Strong","S","Cooper Smith","","","2024-01-19 05:35:49","2024-01-19 05:35:49","","","0","174.196.198.45","499","welmr"
"2024-01-18","05:16","Broken","BKN","No precipitation","NO","","","","","","1","1.5","1.3","","","12","15","93","2","-16.5","-15.0","-12.5","-18.0","-15.5","-18.0","W","Moderate","M","Eli Hanschka","","","2024-01-18 05:38:25","2024-01-18 05:38:25","","","0","107.77.224.227","497","8aav3"
"2024-01-17","05:33","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","2","19","18.5","19.3","","","10","NC","95","","-16.5","-13.0","-10.5","-18.0","-10.0","-18.0","W","Strong","S","Eli Hanschka","","","2024-01-17 05:58:21","2024-01-17 05:58:21","","","0","107.77.225.55","494","keqtf"
"2024-01-16","05:39","Clear","CLR","No precipitation","NO","","","","","","T","","","","","","7","83","2","-12.5","-11.0","-10.0","-15.0","-12.5","-18.0","","Calm","C","Eli Hanschka","","","2024-01-16 05:52:46","2024-01-16 05:52:46","","","0","107.77.223.80","491","cbmvw"
"2024-01-15","05:41","Broken","BKN","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","2","14","10.0","14.0","","","7","NC","85","","-13.0","-10.0","-8.5","-15.0","-10.5","-15.0","W","Moderate","M","Eli Hanschka","","","2024-01-15 06:06:04","2024-01-15 06:06:04","","","0","107.77.224.79","488","zpk53"
"2024-01-14","05:35","Overcast","OVC","No precipitation","NO","","","","","","25","","","35.5","","14","23","78","","-9.0","-6.0","-5.0","-10.0","-1.0","-10.0","W","Extreme","E","Eli Hanschka","Snow plot was wind affected.","","2024-01-14 06:59:04","2024-01-14 06:59:04","","","0","107.77.225.79","486","6lj96"
"2024-01-13","05:38","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles, Stellars and dendrites, Graupel, Irregular crystals","nd, sd, gp, ir","3","4","5.0","3.5","","","15","","64","1","-5.5","-6.0","-6.0","-5.5","-5.5","-10.0","SE","Strong","S","Eli Hanschka","","","2024-01-13 05:58:53","2024-01-13 05:58:53","","","0","107.77.226.141","482","s9lr1"
"2024-02-13","05:31","","","","","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","3","T","","","T","","","NC","75","0","-6.0","-6.0","-5.0","-8.5","-2.0","-9.0","","Calm","C","Eli Hanschka","","","2024-02-13 05:47:13","2024-02-13 05:47:13","","","0","107.77.226.170","564","dbwc"
"2024-02-22","05:11","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","84","1","-5.0","-8.0","-7.0","-4.0","-3.0","-15.0","W","Moderate","M","Cooper Smith","","","2024-02-22 05:18:17","2024-02-22 05:18:17","","","0","174.196.199.55","589","zdmwq"
"2024-02-21","05:22","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","85","3","-12.0","-12.0","-10.0","-15.0","-11.0","-16.0","W","Light","L","Cooper Smith","","","2024-02-21 05:26:28","2024-02-21 05:26:28","","","0","174.242.69.139","586","4dz85"
"2024-02-20","05:40","Scattered","SCT","No precipitation","NO","","","","","","0","","","","","","6","88","2","-15.0","-14.0","-11.0","-16.5","-15.0","-19.0","N","Strong","S","Cooper Smith","","","2024-02-20 05:47:11","2024-02-20 05:47:11","","","0","174.242.64.48","584","a0osd"
"2024-02-19","05:48","Overcast","OVC","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1","7","4.5","7.6","","59","6","NC","90","","-13.0","-11.0","-9.0","-16.0","-11.0","-18.5","N","Extreme","E","Cooper Smith","","","2024-02-19 05:55:26","2024-02-19 05:55:26","","","0","174.242.66.155","581","f3tdi"
"2024-02-18","05:31","Clear","CLR","No precipitation","NO","","","","","","4","3.0","4.0","","75","8","5","87","","-18.0","-11.0","-9.0","-18.0","-10.5","-19.0","N","Strong","S","Cooper Smith","","","2024-02-18 05:39:19","2024-02-18 05:39:19","","","0","174.242.72.133","578","lhatw"
"2024-02-17","05:55","Broken","BKN","No precipitation","NO","","","","","","8","7.0","8.0","","87","9","12","85","","-11.0","-10.0","-8.0","-14.0","-11.0","-14.0","W","Light","L","Cooper Smith","","","2024-02-17 06:04:46","2024-02-17 06:04:46","","","0","174.196.197.199","575","vw8p7"
"2024-02-16","05:51","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Needles, Stellars and dendrites, Irregular crystals","nd, sd, ir","2","8","6.0","8.0","","130","13","NC","82","","-9.0","-8.0","-8.0","-10.0","-9.0","-13.0","N","Strong","S","Cooper Smith","","","2024-02-16 05:59:31","2024-02-16 05:59:31","","","0","174.242.71.54","572","g47en"
"2024-02-15","05:35","Clear","CLR","No precipitation","NO","","","","","","T","","","","","","4","78","4","-13.5","-11.5","-10.0","-13.5","-13.5","-18.5","N","Moderate","M","Eli Hanschka","Plot strongly wind affected","","2024-02-15 05:58:42","2024-02-15 05:58:42","","","0","107.77.224.186","569","cd76j"
"2024-02-14","05:34","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","2","7","3.0","6.6","","","5","NC","82","","-14.0","-10.0","-7.0","-16.5","-7.0","-16.5","N","Strong","S","Eli Hanschka","","","2024-02-14 06:05:18","2024-02-14 06:05:18","","","0","107.77.226.37","567","xz68t"
"2024-02-02","05:29","Broken","BKN","No precipitation","NO","","","","","","1","","","","","","1","82","","-4.0","-4.5","-5.5","-4.5","-2.0","-7.0","NW","Calm","C","Cooper Smith","There was not enough snow to get an accurate density measurement but it was light.","","2024-02-02 05:44:45","2024-02-02 05:44:45","","","0","174.196.192.70","537","u7ie2"
"2024-02-12","06:39","Clear","CLR","","","","","","","","0","","","0","","","0","75","0","-5.0","-5.0","-3.0","-9.5","-2.5","-9.5","","Calm","C","Eli Hanschka","","","2024-02-12 07:12:52","2024-02-12 07:12:52","","","0","107.77.226.93","563","mvv56"
"2024-02-11","05:51","Obscured","X","Snow","SN","Very light snowfall","S-1","Graupel, Irregular crystals","gp, ir","1-2","0","","","0","","","0","75","5","-2.5","-1.0","-1.0","-4.5","8.5","-4.5","NW","Strong","S","Eli Hanschka","","","2024-02-11 06:04:42","2024-02-11 06:04:42","","","0","107.77.226.20","558","3nhpj"
"2024-02-09","05:50","Scattered","SCT","No precipitation","NO","","","","","","0","","","","","","NC","80","1","-2.5","-5.0","-6.0","2.0","2.0","-6.5","W","Moderate","M","Cooper Smith","","","2024-02-09 05:56:00","2024-02-09 05:56:00","","","0","174.196.204.173","554","aresc"
"2024-02-08","05:47","Broken","BKN","No precipitation","NO","","","","","","0","","","","","","0","81","","-6.0","-6.0","-5.5","-5.0","-0.5","-11.0","NW","Light","L","Cooper Smith","","","2024-02-08 05:53:25","2024-02-08 05:53:25","","","0","174.196.197.161","552","4g3j9"
"2024-02-07","05:43","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","","80","2","-11.0","-9.0","-8.0","-10.0","-3.5","-10.0","N","Calm","C","Cooper Smith","","","2024-02-07 05:47:44","2024-02-07 05:47:44","","","0","174.242.66.227","550","yxvrc"
"2024-02-06","05:29","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","NC","81","2","-9.0","-10.0","-8.0","-8.5","-5.0","-13.5","NE","Light","L","Cooper Smith","","","2024-02-06 05:36:54","2024-02-06 05:36:54","","","0","174.242.70.248","547","8a81f"
"2024-02-05","05:42","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","81","2","-10.5","-9.0","-8.0","-8.5","-2.0","-14.0","N","Strong","S","Cooper Smith","","","2024-02-05 05:50:54","2024-02-05 05:50:54","","","0","174.196.194.247","545","hr1xr"
"2024-02-04","05:29","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","3","83","","-10.0","-9.0","-8.0","-2.5","-2.5","-14.0","N","Strong","S","Cooper Smith","","","2024-02-04 05:38:53","2024-02-04 05:38:53","","","0","174.242.67.230","542","4486g"
"2024-02-03","05:27","Broken","BKN","Snow","SN","Very light snowfall","S-1","Needles, Stellars and dendrites","nd, sd","2","2","3.0","2.4","","125","12","NC","83","","-11.0","-9.0","-6.5","-13.0","-3.0","-13.0","N","Light","L","Cooper Smith","","","2024-02-03 05:41:58","2024-02-03 05:41:58","","","0","174.242.71.106","539","uu2tk"
"2024-03-04","05:26","Clear","CLR","No precipitation","NO","","","","","","0","","","0.0","","","","65","2","-0.5","0.0","-0.5","0.0","5.5","0.0","S","Calm","C","Cooper Smith","","","2024-03-04 05:32:02","2024-03-04 05:32:02","","","0","174.242.66.103","615","j7w8l"
"2024-03-14","06:03","Overcast","OVC","No precipitation","NO","","","","","","T","","","","","","T","89","2","0.0","-1.5","-2.0","0.0","8.0","-4.0","","Calm","C","Eli Hanschka","Trace of graupel on snow boards","","2024-03-14 06:14:56","2024-03-14 06:14:56","","","0","107.77.224.130","643","lmugj"
"2024-03-13","06:06","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","91","5","-5.5","-6.0","-5.0","-4.0","-4.0","-12.0","N","Light","L","Eli Hanschka","Snow plot heavily wind affected","","2024-03-13 06:22:10","2024-03-13 06:22:10","","","0","107.77.223.197","641","nc3ne"
"2024-03-11","09:17","Obscured","X","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","2-3","20","31.0","19.5","21.5","","16","35","96","","11.0","7.0","5.0","-12.0","-0.5","-12.0","N","Strong","S","Eli Hanschka","","","2024-03-11 09:37:22","2024-03-11 09:37:22","","","0","107.77.226.124","638","k5hi4"
"2024-03-10","06:00","Obscured","X","","","Moderate snowfall","S2","Graupel, Ice pellets, Irregular crystals","gp, ip, ir","1","27","38.5","27.0","","","14","NC","81","","-4.0","-5.0","-5.0","-3.0","0.0","-6.0","SE","Light","L","Eli Hanschka","","","2024-03-10 06:37:20","2024-03-10 06:37:20","","","0","107.77.223.85","635","lgq14"
"2024-03-09","05:49","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","54","","-5.0","-5.0","-4.0","-7.0","5.5","-7.0","","Calm","C","Eli Hanschka","","","2024-03-09 06:00:36","2024-03-09 06:00:36","","","0","107.77.226.37","631","pxkek"
"2024-03-08","05:40","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","0","50","","-6.0","-3.5","-2.0","-4.0","2.0","-6.0","NE","Light","L","Cooper Smith","Trace of water ice on HN24 and HST","","2024-03-08 05:46:24","2024-03-08 05:46:24","","","0","174.196.192.50","627","c7p8g"
"2024-03-07","05:33","Overcast","OVC","Mixed rain and snow","RS","Light snowfall, Light rain","S1, RL","","","","T","","","1.3","","","","50","5","0.0","-1.0","-1.0","0.0","7.5","0.0","E","Moderate","M","Cooper Smith","","","2024-03-07 05:40:14","2024-03-07 05:40:14","","","0","174.196.195.146","622","5it5m"
"2024-03-06","05:42","Few","FEW","No precipitation","NO","","","","","","0","","","16.0","","","","55","8","-0.5","-1.0","-1.0","3.0","8.0","-1.0","NW","Moderate","M","Cooper Smith","","","2024-03-06 05:50:16","2024-03-06 05:50:16","","","0","174.196.198.220","620","8yjwa"
"2024-03-05","05:44","Overcast","OVC","No precipitation","NO","","","","","","0","","","0.0","","","","63","2","-0.5","-1.0","0.0","3.5","3.5","0.0","S","Strong","S","Cooper Smith","","","2024-03-05 05:51:41","2024-03-05 05:51:41","","","0","174.196.200.2","618","rhex7"
"2024-02-23","05:38","Obscured","X","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1.0","T","","","T","","","NC","85","","0.0","-1.5","-2.0","-1.5","4.5","-5.0","","Calm","C","Eli Hanschka","","","2024-02-23 05:55:53","2024-02-23 05:55:53","","","0","107.77.223.31","591","w5x3i"
"2024-03-03","05:51","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","18.4","","","","67","3","0.0","-1.5","-1.0","0.0","1.0","-0.5","E","Light","L","Cooper Smith","","","2024-03-03 05:53:20","2024-03-03 05:53:20","","","0","216.107.219.202","612","wlj1g"
"2024-03-03","05:29","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","18.4","","","","67","3","0.0","-1.0","-1.0","","","","E","Light","L","Cooper Smith","","","2024-03-03 05:49:22","2024-03-03 05:49:22","","","0","174.196.198.111","611","merak"
"2024-03-02","05:22","Clear","CLR","No precipitation","NO","","","","","","0","","","","","","","70","0","-3.0","-6.0","-5.5","0.0","0.0","-21.0","SW","Strong","S","Cooper Smith","","","2024-03-02 05:26:22","2024-03-02 05:26:22","","","0","174.196.197.150","609","u34q6"
"2024-03-01","05:55","Few","FEW","No precipitation","NO","","","","","","0","","","","","","0","70","","-18.0","-14.0","-11.0","-21.0","-16.0","-21.0","NW","Extreme","E","Cooper Smith","","","2024-03-01 06:01:35","2024-03-01 06:01:35","","","0","174.196.201.183","608","hsb0k"
"2024-02-29","05:45","Obscured","X","No precipitation","NO","","","","","","T","","","","","","T","73","7","-16.0","-5.0","-2.5","-19.5","5.0","-19.5","W","Extreme","E","Eli Hanschka","Snowplot heavily wind affected. Active blowing snow.","","2024-02-29 06:06:34","2024-02-29 06:06:34","","","0","216.107.219.202","605","ps7b9"
"2024-02-28","06:02","Overcast","OVC","Rain","RA","Very light rain","RV","","","","0","","","2.6","","","0","80","5","","","","3.5","5.0","1.0","S","Moderate","M","Eli Hanschka","","","2024-02-28 06:22:14","2024-02-28 06:22:14","","","0","107.77.223.233","604","eovm1"
"2024-02-27","05:45","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","85","0","-1.5","-4.0","-3.5","2.0","2.0","-5.0","W","Strong","S","Eli Hanschka","","","2024-02-27 06:01:21","2024-02-27 06:01:21","","","0","107.77.225.109","601","6rkxd"
"2024-02-25","06:00","Broken","BKN","No precipitation","NO","","","","","","2","2.0","2.0","","","10","","85","","-4.0","-6.0","-6.0","-4.5","-4.0","-15.0","NW","Strong","S","Eli Hanschka","","","2024-02-26 06:12:15","2024-02-26 06:12:15","","","0","107.77.225.109","599","odhfn"
"2024-02-25","05:47","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","","0","84","","-15.0","-12.0","-10.0","-15.5","0.5","-21.0","N","Calm","C","Eli Hanschka","Max and min temps are over the past 48 hours","","2024-02-25 06:03:14","2024-02-25 06:03:14","","","0","107.77.226.36","595","6i40l"
"2024-03-15","05:43","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Plates, Graupel, Irregular crystals","pl, gp, ir","2","9","10.0","9.2","","108","10","","93","","-3.0","-1.0","-1.0","-1.0","11.0","-1.0","S","Light","L","Cooper Smith","","","2024-03-15 05:49:29","2024-03-15 05:49:29","","","0","174.196.202.116","646","z3ad8"
